loss,penalty,learning_rate,alpha,max_iter,early_stopping,R_sq,RMSE
squared_error,elasticnet,adaptive,0.0001,4500,False,0.54109813008295,75.296073635584
squared_error,l2,adaptive,0.001,5000,True,0.540776486925961,75.3224564270275
squared_error,l1,adaptive,0.005,1500,False,0.540583719624736,75.338263743973
squared_error,,adaptive,0.0001,2500,True,0.540573124613009,75.3391324606684
squared_error,l2,adaptive,0.001,1500,True,0.540483144003099,75.3465098362183
squared_error,elasticnet,adaptive,0.0005,2000,True,0.540446048069196,75.3495510660499
squared_error,,adaptive,0.005,500,False,0.540434317652303,75.3505127333391
squared_error,l2,adaptive,0.0001,500,False,0.540333326432307,75.3587915523191
squared_epsilon_insensitive,l1,invscaling,0.01,500,True,0.540052176526891,75.381834204322
squared_error,elasticnet,adaptive,0.005,4500,True,0.539790683670595,75.4032594717696
squared_error,l1,adaptive,0.05,1000,True,0.539674284724984,75.4127945949002
squared_error,elasticnet,adaptive,0.0001,2500,True,0.539518173416802,75.4255809673135
squared_epsilon_insensitive,l2,invscaling,0.005,1500,False,0.539464271143171,75.4299953557866
squared_error,l1,adaptive,0.0001,500,False,0.53941673141431,75.433888461974
squared_error,elasticnet,adaptive,0.001,4500,True,0.539362993677669,75.4382888912529
squared_error,elasticnet,adaptive,0.001,2000,True,0.539362244997587,75.4383501967066
squared_epsilon_insensitive,,invscaling,0.1,1000,False,0.539313438777377,75.4423465725687
squared_error,elasticnet,invscaling,0.0001,4000,True,0.539001920823197,75.4678494587049
squared_error,,adaptive,0.1,1500,False,0.538893342184789,75.4767363871662
squared_error,l2,adaptive,0.0005,500,False,0.538791249651372,75.4850914874756
squared_error,elasticnet,adaptive,0.0005,1500,True,0.538768398745108,75.4869614448254
squared_error,,adaptive,0.001,1500,True,0.538595945701167,75.5010722945893
squared_error,l1,adaptive,0.05,3500,True,0.538496108773264,75.5092401762268
squared_error,,adaptive,0.05,2000,False,0.538408010550498,75.5164469544917
squared_error,,adaptive,0.005,5000,False,0.538394519479271,75.5175505160178
squared_error,,adaptive,0.001,5000,False,0.538360791992694,75.5203093336182
squared_error,l1,adaptive,0.0001,1000,False,0.538314778542836,75.5240729474104
squared_error,elasticnet,adaptive,0.01,4000,False,0.5380820311185,75.543107365029
squared_error,,adaptive,0.005,500,True,0.53806941358304,75.5441391080994
squared_error,l2,adaptive,0.01,4500,False,0.538037513447335,75.5467475375434
squared_error,elasticnet,adaptive,0.001,4000,False,0.537864242810133,75.5609140621629
squared_error,l1,adaptive,0.0005,1000,False,0.53780327801416,75.5658978831763
squared_error,,adaptive,0.01,500,False,0.537540539067701,75.5873728122536
squared_error,,adaptive,0.005,4500,False,0.537463281997963,75.5936862467894
squared_error,elasticnet,adaptive,0.01,3000,False,0.537454845222889,75.5943756666719
squared_error,,adaptive,0.005,1000,True,0.537429736998912,75.596427374207
squared_error,elasticnet,adaptive,0.001,2500,False,0.537422873090995,75.5969882457469
squared_error,,adaptive,0.001,3500,False,0.537323946558938,75.6050713822112
squared_epsilon_insensitive,l2,invscaling,0.0005,1500,False,0.537320133297683,75.6053829406906
squared_epsilon_insensitive,l1,invscaling,0.005,5000,False,0.537294125086659,75.6075078798365
squared_error,elasticnet,adaptive,0.005,4500,False,0.537160573721218,75.61841843658
squared_error,,adaptive,0.1,5000,True,0.536888071824348,75.6406757564601
squared_error,l2,adaptive,0.0001,2500,True,0.53677283396581,75.6500861460219
squared_error,l1,invscaling,0.01,1000,False,0.536664363082872,75.6589428711019
squared_error,,adaptive,0.01,5000,False,0.53659355644938,75.664723724071
squared_error,elasticnet,invscaling,0.001,2500,False,0.536567256800298,75.6668707890033
squared_error,,adaptive,0.001,2000,True,0.536516809742727,75.670989042589
squared_epsilon_insensitive,l2,invscaling,0.0001,1000,True,0.536340307563746,75.6853960625394
squared_error,l1,adaptive,0.005,1000,False,0.536232686405125,75.6941793119177
epsilon_insensitive,l1,optimal,0.0001,3500,True,0.536184871258882,75.6980813063691
squared_error,elasticnet,adaptive,0.0005,4000,True,0.536013524866907,75.7120625184977
squared_error,elasticnet,adaptive,0.005,1000,True,0.535913272574426,75.7202415261657
squared_error,,adaptive,0.0001,500,True,0.535895982359136,75.7216520460173
squared_error,l1,adaptive,0.0005,2000,False,0.535880245310836,75.7229358370953
squared_epsilon_insensitive,l1,invscaling,0.1,2500,False,0.535543864164915,75.7503718102852
squared_error,l2,invscaling,0.0005,2000,True,0.535457770893288,75.7573921666162
squared_error,elasticnet,adaptive,0.001,500,False,0.535436549948537,75.7591224991603
squared_error,,adaptive,0.0005,1500,True,0.535384329193557,75.7633803539291
squared_error,l2,adaptive,0.0005,4000,False,0.535299650782936,75.7702841571653
squared_error,l1,adaptive,0.0001,500,True,0.535144463137761,75.7829349228179
squared_error,l2,adaptive,0.01,4000,False,0.534979523071111,75.7963783829488
